Saltash Police Station,Crediton Police Station,Okehampton Police Station,Bideford Police Station,Seaton Police Station,Sidmouth Police Station,Chudleigh Police Station,South Molton Police Station,Mevagissey Incorrect,Tregony Police Station,Great Torrington Police Station,Kingsbridge Police Station,Salcombe Police Station,Wadebridge Police Station,Lifton Incorrect,Newton Abbot Police Station,Newquay Police Station,Tavistock Police Station,St Blazey Police Station,Plymouth British Transport Police,Exe St Davids British Transport Police,Ottery St Mary Police Station,Exeter Police Station,Brixham Police Station,Falmouth Police Station,Totnes Police Station,Camborne Police Station,Penzance Police Station,Tiverton Police Station,Devonport Navy?,Bodmin Police Station,Torquay Police Station,Ashburton Police Station,Braunton Police Station,Barnstaple Police Station & Magistrates Court,Devonport Police Office,Plympton Police Station,Looe Police Station,Honiton Police Station,Cullompton Police Station,Dartmouth Police Station,Saltash Police Station,Ivybridge Police Station,Helston Police Station,Truro Police Station,Holsworthy Police Station,Darwin Police?,Liskeard Police Station,Bude Police station,Torpoint Police Station,Crownhill Police Station,Ivybridge Police Station 2,Ilfracombe Police Station,Royal Navy Police,Plymouth Navy 2,St Austell Police Station,Launceston Police Station,Charles Cross Police Station
2,1,4,2,1,2,0,2,1,0,0,1,0,2,0,3,4,3,0,0,3,0,3,0,3,1,4,5,2,0,3,4,0,0,4,1,1,0,3,2,1,1,1,3,4,0,1,3,1,2,2,0,2,1,0,4,3,4
1,1,1,3,1,2,1,0,0,0,0,3,0,2,0,3,3,3,0,0,4,0,4,1,3,3,4,2,3,0,2,4,0,2,3,2,3,2,2,0,1,0,0,1,4,1,0,3,4,1,3,0,2,1,0,5,3,3
1,2,2,4,1,4,1,2,0,0,2,1,0,2,0,3,4,1,1,0,3,0,3,2,2,3,4,4,3,0,3,5,0,0,3,1,1,0,2,1,0,0,0,2,2,2,1,2,0,3,1,1,3,1,1,4,3,3
1,1,3,3,1,2,1,0,0,0,0,2,0,2,0,2,4,2,1,0,4,0,4,2,3,2,4,4,3,2,2,4,0,0,4,0,2,1,2,1,2,1,0,2,4,2,1,3,3,0,2,0,2,0,2,3,1,3
2,2,2,2,1,1,1,1,0,0,0,2,0,2,1,3,4,2,0,0,4,0,4,1,4,3,4,3,2,0,3,5,1,0,4,1,1,0,2,1,0,1,0,3,3,3,0,4,1,1,3,0,2,1,1,3,2,3
0,2,2,2,1,1,1,1,0,0,0,3,0,2,0,3,2,2,0,0,4,1,4,2,4,2,4,3,2,0,3,4,0,1,3,0,2,1,3,2,0,0,0,3,3,0,3,3,1,1,3,2,3,0,0,4,3,4
2,0,2,3,1,1,1,1,0,0,0,2,0,1,0,2,4,2,0,1,3,0,5,3,2,2,4,3,3,0,3,6,0,0,3,2,2,1,3,1,0,0,3,2,4,2,0,2,3,1,2,0,3,0,0,4,2,3
0,1,0,3,2,0,1,2,0,0,0,2,0,0,0,3,3,3,0,0,3,1,3,2,3,2,5,4,2,0,4,5,1,0,4,1,1,2,1,0,0,1,0,3,3,1,1,2,4,1,2,2,3,0,2,4,3,4
1,2,2,3,0,2,2,2,1,0,0,1,0,1,0,3,3,1,1,0,3,0,5,3,3,2,4,3,2,0,3,4,0,0,4,2,2,2,4,2,0,0,2,0,4,0,0,2,3,1,2,0,3,2,0,3,2,3
1,4,2,3,1,2,0,1,0,0,0,2,0,2,0,3,4,3,0,0,4,0,3,4,3,1,5,4,3,0,2,3,1,0,3,0,2,0,1,2,0,0,1,2,4,1,1,3,0,2,3,0,1,2,0,4,3,4
0,1,3,4,0,2,1,2,0,0,0,2,0,3,0,3,2,3,0,0,4,0,4,2,4,3,4,3,3,0,4,6,1,0,4,2,2,2,1,0,0,0,1,1,3,1,1,1,1,1,2,2,2,1,0,4,2,2
1,3,1,4,2,1,2,0,0,0,0,1,0,1,1,2,2,4,2,0,3,1,4,1,3,3,4,2,1,0,1,4,0,0,3,1,1,3,1,3,0,0,0,3,4,1,0,3,4,2,2,1,3,0,1,5,2,3
0,2,4,3,0,3,3,0,0,1,0,4,0,2,0,2,2,4,2,1,4,0,4,2,3,3,4,2,3,0,3,3,0,1,2,2,1,2,1,0,0,0,1,2,3,1,1,3,1,2,2,0,2,0,0,4,3,2
0,1,1,6,1,2,4,0,2,0,0,0,0,4,0,3,2,2,3,0,3,0,4,2,3,3,4,4,1,1,5,3,0,0,3,0,0,1,2,1,0,0,0,1,3,2,2,3,2,2,3,1,2,1,1,2,1,3
0,2,1,4,1,1,1,0,0,0,0,0,0,3,1,4,2,3,2,1,4,0,4,1,3,3,5,3,2,0,2,4,0,0,3,1,2,1,2,2,1,0,0,2,4,0,3,3,4,3,3,1,2,0,0,3,1,2
0,1,3,3,1,3,1,0,0,1,0,0,0,1,1,4,2,2,1,0,4,0,4,2,3,3,4,2,2,0,3,5,0,0,2,2,1,1,2,3,0,0,0,3,3,2,0,2,2,2,3,3,2,4,0,3,0,4
